IP地址,端口,TLS,数据中心,国家,地区,城市,ASN,ORG,延迟(ms),速度(MB/s)
43.153.181.217,443,TRUE,NRT,JP,Asia Pacific,Tokyo,132203,"Tencent Building, Kejizhongyi Avenue",302,19.51
206.237.120.107,443,TRUE,NRT,JP,Asia Pacific,Tokyo,400464,VMISS,326,17.72
8.219.66.156,8443,TRUE,NRT,JP,Asia Pacific,Tokyo,45102,"Alibaba US Technology Co., Ltd.",454,15.29
34.146.166.62,51131,TRUE,NRT,JP,Asia Pacific,Tokyo,396982,GOOGLE-CLOUD-PLATFORM,407,13.99
47.236.125.62,2096,TRUE,NRT,JP,Asia Pacific,Tokyo,45102,"Alibaba US Technology Co., Ltd.",600,12.55
124.156.238.155,443,TRUE,NRT,JP,Asia Pacific,Tokyo,132203,"Tencent Building, Kejizhongyi Avenue",443,11.80
211.192.158.219,10122,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,378,5.68
8.219.66.156,2087,TRUE,NRT,JP,Asia Pacific,Tokyo,45102,"Alibaba US Technology Co., Ltd.",462,5.57
149.28.22.198,8443,TRUE,NRT,JP,Asia Pacific,Tokyo,20473,AS-CHOOPA,807,5.57
220.81.132.214,29798,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,443,5.34
211.51.185.137,21083,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,382,4.80
140.238.20.223,35913,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,309,4.64
38.47.109.45,443,TRUE,NRT,JP,Asia Pacific,Tokyo,55933,Cloudie Limited,340,3.54
221.154.20.23,10024,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,394,3.31
14.39.251.200,12442,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,377,2.98
47.245.33.33,443,TRUE,NRT,JP,Asia Pacific,Tokyo,45102,"Alibaba US Technology Co., Ltd.",568,2.92
121.162.197.175,10103,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,549,2.57
211.195.68.80,12290,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,554,2.30
111.65.150.65,30032,TRUE,KIX,JP,Asia Pacific,Osaka,17573,SK Broadband Co Ltd,672,2.27
138.3.210.24,443,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,275,2.00
61.77.9.219,12503,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,576,1.92
58.145.73.59,12322,TRUE,NRT,JP,Asia Pacific,Tokyo,9689,SK Broadband Co Ltd,359,1.91
61.77.9.219,12487,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,566,1.83
8.219.66.156,2053,TRUE,NRT,JP,Asia Pacific,Tokyo,45102,"Alibaba US Technology Co., Ltd.",471,1.80
141.147.183.49,29876,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,482,1.77
138.3.222.135,443,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,294,1.73
220.81.178.30,12306,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,493,1.72
125.135.115.85,18038,TRUE,NRT,JP,Asia Pacific,Tokyo,4766,Korea Telecom,490,1.69
140.238.33.161,443,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,282,1.49
138.2.21.196,44333,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,293,1.43
45.77.130.245,443,TRUE,NRT,JP,Asia Pacific,Tokyo,20473,AS-CHOOPA,842,1.42
168.138.197.147,12345,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,562,1.32
45.76.220.61,443,TRUE,NRT,JP,Asia Pacific,Tokyo,20473,AS-CHOOPA,846,1.29
158.179.176.224,8443,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,322,1.08
45.32.25.171,443,TRUE,NRT,JP,Asia Pacific,Tokyo,20473,AS-CHOOPA,841,0.68
45.77.9.114,443,TRUE,NRT,JP,Asia Pacific,Tokyo,20473,AS-CHOOPA,389,0.38
167.179.74.220,2053,TRUE,NRT,JP,Asia Pacific,Tokyo,20473,AS-CHOOPA,445,0.32
168.138.197.5,4499,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,528,0.32
158.101.71.60,443,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,271,0.19
158.101.154.245,47001,TRUE,NRT,JP,Asia Pacific,Tokyo,31898,ORACLE-BMC-31898,407,0.18
45.76.198.248,443,TRUE,NRT,JP,Asia Pacific,Tokyo,20473,AS-CHOOPA,824,0.12
