IP地址,端口,回源端口,TLS,城市,地区,国家,城市,TCP延迟(ms),速度(MB/s)
206.238.236.190,2053,443,TRUE,Singapore,Europe,DE,Singapore,206,10.29
206.238.237.246,2053,443,TRUE,Singapore,Europe,DE,Singapore,317,10.29
114.129.43.170,2053,443,TRUE,Singapore,Europe,DE,Singapore,197,10.29
114.129.43.123,2053,443,TRUE,Singapore,Europe,DE,Singapore,318,10.29
206.238.236.10,2053,443,TRUE,Singapore,Europe,DE,Singapore,305,10.27
154.219.5.113,2053,443,TRUE,Singapore,Europe,DE,Singapore,430,10.25
114.129.43.224,2053,443,TRUE,Singapore,Europe,DE,Singapore,443,10.24
114.129.43.131,2053,443,TRUE,Singapore,Europe,DE,Singapore,198,10.23
114.129.43.230,2053,443,TRUE,Singapore,Europe,DE,Singapore,216,10.22
114.129.43.51,2053,443,TRUE,Singapore,Europe,DE,Singapore,231,10.22
114.129.43.92,2053,443,TRUE,Singapore,Europe,DE,Singapore,317,10.21
114.129.43.57,2053,443,TRUE,Singapore,Europe,DE,Singapore,250,10.2
114.129.43.83,2053,443,TRUE,Singapore,Europe,DE,Singapore,208,10.2
114.129.43.122,2053,443,TRUE,Singapore,Europe,DE,Singapore,460,10.19
206.238.237.237,2053,443,TRUE,Singapore,Europe,DE,Singapore,390,10.18
206.238.237.225,2053,443,TRUE,Singapore,Europe,DE,Singapore,244,10.18
206.238.236.21,2053,443,TRUE,Singapore,Europe,DE,Singapore,259,10.17
114.129.43.143,2053,443,TRUE,Singapore,Europe,DE,Singapore,324,10.15
114.129.43.26,2053,443,TRUE,Singapore,North America,US,Singapore,244,10.13
114.129.43.28,2053,443,TRUE,Singapore,Europe,DE,Singapore,285,10.1
154.219.5.3,2053,443,TRUE,Singapore,Europe,DE,Singapore,325,10.1
114.129.43.140,2053,443,TRUE,Singapore,Europe,DE,Singapore,252,10.09
206.238.237.233,2053,443,TRUE,Singapore,Europe,DE,Singapore,272,10.09
206.238.236.64,2053,443,TRUE,Singapore,Europe,DE,Singapore,330,10.08
114.129.43.168,2053,443,TRUE,Singapore,Europe,DE,Singapore,208,10.07
114.129.43.39,2053,443,TRUE,Singapore,Europe,DE,Singapore,286,10.07
114.129.43.42,2053,443,TRUE,Singapore,Europe,FR,Singapore,217,10.04
114.129.43.150,2053,443,TRUE,Singapore,Europe,DE,Singapore,277,10.03
114.129.43.251,2053,443,TRUE,Singapore,Europe,DE,Singapore,227,10.03
114.129.43.220,2053,443,TRUE,Singapore,Europe,DE,Singapore,331,10
206.238.236.70,2053,443,TRUE,Singapore,Europe,FR,Singapore,213,10
206.238.237.204,2053,443,TRUE,Singapore,Europe,DE,Singapore,247,9.97
206.238.236.81,2053,443,TRUE,Singapore,Europe,DE,Singapore,285,9.96
114.129.43.165,2053,443,TRUE,Singapore,Europe,FR,Singapore,265,9.96
206.238.237.217,2053,443,TRUE,Singapore,Europe,DE,Singapore,256,9.96
114.129.43.124,2053,443,TRUE,Singapore,Europe,DE,Singapore,318,9.96
114.129.43.20,2053,443,TRUE,Singapore,Europe,DE,Singapore,304,9.94
114.129.43.190,2053,443,TRUE,Singapore,North America,US,Singapore,284,9.94
114.129.43.14,2053,443,TRUE,Singapore,Europe,DE,Singapore,232,9.94
154.219.5.120,2053,443,TRUE,Singapore,Europe,DE,Singapore,305,9.93
114.129.43.178,2053,443,TRUE,Singapore,Europe,DE,Singapore,279,9.92
206.238.236.147,2053,443,TRUE,Singapore,Europe,DE,Singapore,297,9.92
206.238.236.83,2053,443,TRUE,Singapore,Europe,DE,Singapore,268,9.9
